"id","name","nominal","pfennig","hoehe","breite","thumb","image","euro","von","bis"
"18234609","Schwedter Kaufmannschaft: 50 Pfennig 1921","50 Pfennig","50","51","77","http://ikmk.smb.museum/mk-edit/images/n36/36077/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n36/36077/vs_org.jpg","0,4","1921","1922"
"18234610","Schwedter Tageblatt: 1 Pfennig 1925?","Pfennig","1","22","45","http://ikmk.smb.museum/mk-edit/images/n36/36078/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n36/36078/vs_org.jpg","3,7","1925","1925"
"18234611","Schwedter Tageblatt: 10 Pfennig 1925?","10 Pfennig","10","29","51","http://ikmk.smb.museum/mk-edit/images/n36/36079/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n36/36079/vs_org.jpg","3,7","1925","1925"
"18235976","Städtische Sparkasse Strausberg: 1 Million Mark 1923","1 Million Mark","100000000","82","142","http://ikmk.smb.museum/mk-edit/images/n37/37414/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37414/vs_org.jpg","0,0001","1923","1923"
"18236195","Gewerbebank Strausberg: 5.000 Mark 1923","5.000 Mark","500000","90","149","http://ikmk.smb.museum/mk-edit/images/n37/37633/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37633/vs_org.jpg","0,0001","1923","1923"
"18236196","Gewerbebank Strausberg: 5.000 Mark 1923","5.000 Mark","500000","91","149","http://ikmk.smb.museum/mk-edit/images/n37/37634/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37634/vs_org.jpg","0,0001","1923","1923"
"18236197","Gewerbebank Strausberg: 20.000 Mark 1923","20.000 Mark","2000000","89","147","http://ikmk.smb.museum/mk-edit/images/n37/37635/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37635/vs_org.jpg","0,0001","1923","1923"
"18236198","Gewerbebank Strausberg: 500.000 Mark 1923","500.000 Mark","50000000","90","149","http://ikmk.smb.museum/mk-edit/images/n37/37636/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37636/vs_org.jpg","0,0001","1923","1923"
"18236199","Gewerbebank Strausberg: 1 Million Mark 1923","1 Million Mark","100000000","92","148","http://ikmk.smb.museum/mk-edit/images/n37/37637/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37637/vs_org.jpg","0,0001","1923","1923"
"18236200","Gewerbebank Strausberg: 50.000 Mark 1923","50.000 Mark","5000000","91","147","http://ikmk.smb.museum/mk-edit/images/n37/37638/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37638/vs_org.jpg","0,0001","1923","1923"
"18236201","Gewerbebank Strausberg: 100.000 Mark 1923","100.000 Mark","10000000","90","146","http://ikmk.smb.museum/mk-edit/images/n37/37639/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37639/vs_org.jpg","0,0001","1923","1923"
"18236202","Gewerbebank Strausberg: 100.000 Mark 1923","100.000 Mark","10000000","91","147","http://ikmk.smb.museum/mk-edit/images/n37/37640/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37640/vs_org.jpg","0,0001","1923","1923"
"18236203","Gewerbebank Strausberg: 10.000 Mark 1923","10.000 Mark","1000000","90","147","http://ikmk.smb.museum/mk-edit/images/n37/37641/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37641/vs_org.jpg","0,0001","1923","1923"
"18236204","Gewerbebank Strausberg: 10.000 Mark 1923","10.000 Mark","1000000","90","146","http://ikmk.smb.museum/mk-edit/images/n37/37642/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37642/vs_org.jpg","0,0001","1923","1923"
"18236205","Gewerbebank Strausberg: 20.000 Mark 1923","20.000 Mark","2000000","90","144","http://ikmk.smb.museum/mk-edit/images/n37/37643/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37643/vs_org.jpg","0,0001","1923","1923"
"18236206","Gewerbebank Strausberg: 50.000 Mark 1923","50.000 Mark","5000000","90","143","http://ikmk.smb.museum/mk-edit/images/n37/37644/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37644/vs_org.jpg","0,0001","1923","1923"
"18236207","Gewerbebank Strausberg: 100.000 Mark 1923","100.000 Mark","10000000","91","146","http://ikmk.smb.museum/mk-edit/images/n37/37645/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37645/vs_org.jpg","0,0001","1923","1923"
"18236208","Gewerbebank Strausberg: 100.000 Mark 1923","100.000 Mark","10000000","91","146","http://ikmk.smb.museum/mk-edit/images/n37/37646/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37646/vs_org.jpg","0,0001","1923","1923"
"18236209","Gewerbebank Strausberg: 500.000 Mark 1923","500.000 Mark","50000000","90","146","http://ikmk.smb.museum/mk-edit/images/n37/37647/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37647/vs_org.jpg","0,0001","1923","1923"
"18236210","Gewerbebank Strausberg: 5 Millionen Mark 1923","5 Millionen Mark","500000000","91","147","http://ikmk.smb.museum/mk-edit/images/n37/37648/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37648/vs_org.jpg","0,0001","1923","1923"
"18236211","Gewerbebank Strausberg: 5 Millionen Mark 1923","5 Millionen Mark","500000000","91","148","http://ikmk.smb.museum/mk-edit/images/n37/37649/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37649/vs_org.jpg","0,0001","1923","1923"
"18236212","Gewerbebank Strausberg: 25 Milliarden Mark","25 Milliarden Mark","2500000000000","89","145","http://ikmk.smb.museum/mk-edit/images/n37/37650/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37650/vs_org.jpg","0,000000000001","1923","1923"
"18236213","Gewerbebank Strausberg: 25 Milliarden Mark","25 Milliarden Mark","2500000000000","90","145","http://ikmk.smb.museum/mk-edit/images/n37/37651/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n37/37651/vs_org.jpg","0,000000000001","1923","1923"
"18236593","Mitteldeutsche Creditbank Filiale Göttingen: 500.000 Mark 1923","500.000 Mark","50000000","73","142","http://ikmk.smb.museum/mk-edit/images/n38/38031/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n38/38031/vs_org.jpg","0,0001","1923","1923"
"18236594","Commerz- und Privat-Bank Filiale Göttingen: 500.000 Mark 1923","500.000 Mark","50000000","73","143","http://ikmk.smb.museum/mk-edit/images/n38/38032/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n38/38032/vs_org.jpg","0,0001","1923","1923"
"18236595","Mitteldeutsche Creditbank Filiale Göttingen: 20 Milliarden Mark 1923","20 Milliarden Mark","2000000000000","80","118","http://ikmk.smb.museum/mk-edit/images/n38/38033/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n38/38033/vs_org.jpg","0,000000000001","1923","1923"
"18236596","Mitteldeutsche Creditbank Filiale Göttingen: 10 Milliarden Mark 1923","10 Milliarden Mark","1000000000000","80","119","http://ikmk.smb.museum/mk-edit/images/n38/38034/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n38/38034/vs_org.jpg","0,000000000001","1923","1923"
"18236597","Mitteldeutsche Creditbank Filiale Göttingen: 50 Milliarden Mark 1923","50 Milliarden Mark","5000000000000","76","116","http://ikmk.smb.museum/mk-edit/images/n38/38035/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n38/38035/vs_org.jpg","0,000000000001","1923","1923"
"18245938","Bank Deutscher Länder: 20 Deutsche Mark 1948","20 Mark","2000","67","146","http://ikmk.smb.museum/mk-edit/images/n47/47456/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n47/47456/vs_org.jpg","2,9","1948","1948"
"18255252","Penkun, Stadt: 50 Pfennig 1920","50 Pfennig","50","53","82","http://ikmk.smb.museum/mk-edit/images/n57/57753/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n57/57753/vs_org.jpg","0,5","1920","1920"
"18255254","Penkun, Stadt: 50 Pfennig 1920","50 Pfennig","50","53","82","http://ikmk.smb.museum/mk-edit/images/n57/57755/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n57/57755/vs_org.jpg","0,5","1920","1920"
"18255255","Penkun, Stadt: 50 Pfennig 1920","50 Pfennig","50","52","81","http://ikmk.smb.museum/mk-edit/images/n57/57756/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n57/57756/vs_org.jpg","0,5","1920","1920"
"18255256","Penkun, Stadt: 50 Pfennig 1920","50 Pfennig","50","53","82","http://ikmk.smb.museum/mk-edit/images/n57/57757/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n57/57757/vs_org.jpg","0,5","1920","1920"
